Phase,PotPcnt,StackPcnt,BetPcnt,AvgBetAmt,BetAmtStdDev,AIPcnt,FoldPcnt,AvgFoldAmt
PREFLOP,LOW,LOW,0.2814814814814815,441.55263157894734,596.8452456289795,0.0,0.7925925925925926,571.9719626168225
PREFLOP,LOW,HIGH,0.5,800.0,0.0,0.0,0.5,200.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.5909090909090909,584.7692307692307,652.4055079055986,0.0,0.4090909090909091,447.6666666666667
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,0.9166666666666666,73.18181818181819,158.72034765691066,0.0,0.16666666666666666,265.0
PREFLOP,LOW,LOW,0.33774834437086093,537.7843137254902,509.0157867163747,0.0,0.7218543046357616,903.8073394495412
PREFLOP,LOW,HIGH,0.6666666666666666,5920.0,4320.0,0.0,0.3333333333333333,400.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,1.0,4.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,1900.0
FLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,550.0
RIVER,LOW,LOW,1.0,3000.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.75,1074.0,291.3279938488576,0.0,0.25,400.0
TURN,LOW,LOW,1.0,1000.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.23809523809523808,515.0,576.541412215983,0.0,0.8095238095238095,592.6470588235294
PREFLOP,LOW,LOW,0.5,237.5,212.5,0.0,0.75,716.6666666666666
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.3333333333333333,1096.4,1073.1429727673753,0.0,0.6666666666666666,1070.5
TURN,LOW,LOW,1.0,325.0,562.9165124598851,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,1.0,800.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.16666666666666666,275.0
PREFLOP,LOW,LOW,0.3673469387755102,204.72222222222223,356.2165080639638,0.0,0.6938775510204082,720.8235294117648
PREFLOP,LOW,HIGH,1.0,60.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,10.0
PREFLOP,LOW,LOW,0.25,800.0,0.0,0.0,0.75,433.3333333333333
PREFLOP,LOW,MEDIUM,0.5,400.0,0.0,0.0,0.5,200.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.5,100.0,0.0,0.0,0.5,225.0
PREFLOP,LOW,MEDIUM,0.5,300.0,200.0,0.0,0.5,210.0
PREFLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,900.0
PREFLOP,LOW,MEDIUM,1.0,1120.0,320.0,0.0,0.0,0.0
TURN,HIGH,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,1624.25,1223.3475334098646,0.0,0.0,0.0
FLOP,LOW,LOW,0.8333333333333334,733.7,1047.425992612366,0.0,0.16666666666666666,1175.0
PREFLOP,LOW,LOW,0.7714285714285715,870.925925925926,2890.7707664466693,0.0,0.3142857142857143,877.7272727272727
PREFLOP,LOW,HIGH,1.0,1600.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.625,344.0,259.96922894835075,0.0,0.625,1176.0
PREFLOP,LOW,MEDIUM,0.0,0.0,0.0,0.0,1.0,200.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.5454545454545454,150.0,50.0,0.0,0.6363636363636364,421.42857142857144
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.7777777777777778,842.4285714285714,1008.9466724039988,0.0,0.3333333333333333,196.66666666666666
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3333333333333333,800.0,0.0,0.0,0.6666666666666666,375.0
FLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,400.0
PREFLOP,LOW,LOW,0.5,800.0,600.0,0.0,0.5,600.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3333333333333333,200.0,0.0,0.0,0.6666666666666666,200.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.25,248.0,0.0,0.0,0.75,173.33333333333334
FLOP,LOW,LOW,1.0,50.0,50.0,0.0,0.0,0.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.42857142857142855,1197.6666666666667,568.9852565947753,0.0,0.5714285714285714,475.0
FLOP,LOW,LOW,1.0,125.0,125.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,850.0
PREFLOP,LOW,MEDIUM,0.4444444444444444,10.75,12.55736835487436,0.0,0.7777777777777778,36.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.5,88.0
