Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
Oski	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eazymoney	RIVER	LOW	LOW	0.8571428571428571	0.14285714285714285	0.0	0.0	0.02197802197802198	0.0	0.0	0.0	0.0
rodney	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
comlink	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jaster	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LAC	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Harley	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g1761	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sham	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
THE_ACE	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMAN	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yamucharo	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hiro	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
agb	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kidray	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Diver777	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arts	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kevin	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFigor	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BradFaxon	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kk	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sinclair	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zman	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LfromHell	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tahoe7777	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Messiah	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
id	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trickster	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sweettone	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
woonk	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zigen	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skamse	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nae-Blis	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Twocall	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
