Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4
												class
FLOP	LOW	MEDIUM	0.428571432828903200	0.000000000000000000	0.571428596973419190	0.000000000000000000	0.0246284	0	0.0	0.000000000000000000	0	1
FLOP	LOW	MEDIUM	0.980633139610290530	0.004294478800147772	0.014514558948576450	0.000000000000000000	0.000792928	0	0.0	0.000557724502868950	1.66298e-005	2
FLOP	LOW	MEDIUM	0.371428549289703370	0.628571450710296630	0.000000000000000000	0.000000000000000000	0.0156355	1.98144e-005	0.0	0.000000000000000000	0	3
FLOP	LOW	MEDIUM	0.434149235486984250	0.000000000000000000	0.032634034752845764	0.000000000000000000	0.00123874	0	0.0	0.533216774463653560	0.0092235	4
