Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5
												class
PREFLOP	LOW	MEDIUM	0.000000000000000000	0.039999999105930328	0.039999999105930328	0.933333396911621090	0.0321513	0.00102732	0.0	0.039999999105930328	0.000338452	1
PREFLOP	LOW	MEDIUM	0.016714150086045265	0.243498697876930240	0.912428677082061770	0.011331570334732533	0.00665944	0.00236332	0.0	0.046538989990949631	0.00108278	2
PREFLOP	LOW	MEDIUM	0.026684708893299103	0.093692414462566376	0.085526779294013977	0.019897960126399994	0.00260954	0.00055781	0.0	0.840365469455718990	0.00700695	3
PREFLOP	LOW	MEDIUM	0.316526859998703000	0.413246572017669680	0.158312827348709110	0.032520327717065811	0.00726977	0.00189071	0.0	0.176113113760948180	0.0027018	4
PREFLOP	LOW	MEDIUM	0.064669683575630188	0.272259950637817380	0.436219125986099240	0.026555240154266357	0.00590915	0.00457098	0.0	0.409883856773376460	0.00651135	5
