Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5
												class
TURN	LOW	LOW	0.181818187236785890	0.000000000000000000	0.045454546809196472	0.000000000000000000	0.000433934	0	0.0	0.772727251052856450	0.0108945	1
TURN	LOW	LOW	0.965282678604125980	0.010772269219160080	0.018108792603015900	0.000000000000000000	0.00136994	0.0004319	0.0	0.005836269352585077	0.000338429	2
TURN	LOW	LOW	0.000000000000000000	0.000000000000000000	0.000000000000000000	1.000000000000000000	0.0188008	0	0.0	0.000000000000000000	0	3
TURN	LOW	LOW	0.273484826087951660	0.699999988079071040	0.011363636702299118	0.000000000000000000	0.033082	0.000989573	0.0	0.015151515603065491	0.000219058	4
TURN	LOW	LOW	0.300207048654556270	0.039855074137449265	0.670807421207427980	0.000000000000000000	0.0171766	0.00520486	0.0	0.000000000000000000	0	5
