Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2
												class
PREFLOP	LOW	LOW	0.058315325528383255	0.295264929533004760	0.550756990909576420	0.068168744444847107	0.00367207	0.00319536	0.0	0.294002920389175420	0.00300941	1
PREFLOP	LOW	LOW	0.050918083637952805	0.195934236049652100	0.163155019283294680	0.028392840176820755	0.00311821	0.00286403	0.0	0.720436513423919680	0.00455883	2
