Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5
												class
PREFLOP	LOW	HIGH	0.000000000000000000	0.070748299360275269	0.079818598926067352	0.000000000000000000	0.00201301	0.000339096	0.0	0.920181393623352050	0.0201794	1
PREFLOP	LOW	HIGH	0.004545454867184162	0.702272772789001460	0.840909123420715330	0.008333333767950535	0.00601819	0.00478727	0.0	0.154166668653488160	0.00330794	2
PREFLOP	LOW	HIGH	0.000000000000000000	0.166666671633720400	0.208333343267440800	0.791666686534881590	0.0105234	0.00152477	0.0	0.000000000000000000	0	3
PREFLOP	LOW	HIGH	0.255676507949829100	0.355834871530532840	0.326066434383392330	0.032439783215522766	0.00660517	0.00330566	0.0	0.133980050683021550	0.00307964	4
PREFLOP	LOW	HIGH	0.006908063776791096	0.075667694211006165	0.850629210472106930	0.003389830468222499	0.0093317	0.00223757	0.0	0.154763743281364440	0.00382166	5
