Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
													
clarko	PREFLOP	LOW	LOW	0.0667	0.2667	0.0667	0.0000	0.0236	0.0254	0.0000	0.8000	0.0277
Shazbot	PREFLOP	LOW	LOW	0.0000	0.1600	0.0800	0.1200	0.0086	0.0083	0.0000	0.8400	0.0244
KHead	FLOP	HIGH	MEDIUM	0.4167	0.1250	0.2500	0.0000	0.0312	0.0188	0.0000	0.2083	0.0611
KHead	PREFLOP	LOW	LOW	0.0940	0.4359	0.3248	0.0342	0.0141	0.0175	0.0000	0.4872	0.0292
KHead	TURN	MEDIUM	LOW	0.6364	0.1818	0.1818	0.0000	0.0318	0.0172	0.0000	0.0000	0.0000
KHead	RIVER	LOW	LOW	0.7000	0.3000	0.0000	0.0000	0.0175	0.0050	0.0000	0.0000	0.0000
KHead	FLOP	HIGH	LOW	0.5714	0.0000	0.2857	0.0000	0.0411	0.0202	0.0000	0.1429	0.0244
KHead	FLOP	MEDIUM	MEDIUM	0.5882	0.0588	0.1765	0.0000	0.0113	0.0016	0.0000	0.1765	0.0130
JeffK	PREFLOP	LOW	LOW	0.1250	0.2500	0.1250	0.0625	0.0178	0.0288	0.0000	0.5625	0.0175
fishboy	PREFLOP	LOW	LOW	0.0909	0.3636	0.2727	0.0000	0.0060	0.0079	0.0000	0.5455	0.0132
kmanthree	PREFLOP	LOW	LOW	0.0000	0.3636	0.0000	0.0000	0.0112	0.0053	0.0000	1.0000	0.0168
derek	PREFLOP	LOW	LOW	0.2000	0.4500	0.2000	0.1500	0.0286	0.0259	0.0000	0.3500	0.0193
brian	PREFLOP	LOW	LOW	0.1000	0.3500	0.4000	0.0500	0.0171	0.0176	0.0000	0.3500	0.0200
sjack	PREFLOP	LOW	LOW	0.0435	0.4783	0.4348	0.0000	0.0133	0.0201	0.0000	0.4783	0.0197
sjack	FLOP	HIGH	LOW	0.4000	0.1000	0.4000	0.1000	0.0403	0.0427	0.0000	0.0000	0.0000
cousin	PREFLOP	LOW	LOW	0.1579	0.5263	0.3158	0.1053	0.0446	0.0687	0.0000	0.2632	0.0484
MrX	PREFLOP	LOW	LOW	0.0000	0.0769	0.0769	0.0000	0.0040	0.0028	0.0000	0.9231	0.0147
dtm	PREFLOP	LOW	LOW	0.1364	0.2955	0.1818	0.0909	0.0258	0.0257	0.0000	0.4545	0.0220
Grizz	PREFLOP	LOW	LOW	0.0930	0.3953	0.1163	0.0000	0.0113	0.0188	0.0000	0.6977	0.0244
n01	PREFLOP	LOW	LOW	0.0714	0.2143	0.1071	0.1429	0.0152	0.0169	0.0000	0.6429	0.0115
n01	PREFLOP	LOW	MEDIUM	0.2500	0.5000	0.0833	0.0833	0.0215	0.0154	0.0000	0.3333	0.0204
Timmy^	PREFLOP	LOW	LOW	0.1765	0.3529	0.0882	0.1176	0.0266	0.0298	0.0000	0.4706	0.0250
baguette	PREFLOP	LOW	LOW	0.0968	0.2581	0.1613	0.0968	0.0454	0.0600	0.0000	0.5806	0.0242
hitcher2	PREFLOP	LOW	LOW	0.0370	0.1481	0.1111	0.0370	0.0199	0.0230	0.0000	0.7778	0.0360
rkt	PREFLOP	LOW	LOW	0.0714	0.2857	0.1429	0.0714	0.0052	0.0059	0.0000	0.6429	0.0160
franzen	PREFLOP	LOW	LOW	0.0909	0.3182	0.0455	0.0455	0.0214	0.0183	0.0000	0.6818	0.0127
acesup	PREFLOP	LOW	LOW	0.0625	0.3750	0.3750	0.1250	0.0605	0.0542	0.0000	0.3125	0.0515
bingo	PREFLOP	LOW	LOW	0.1000	0.4500	0.2500	0.1000	0.0096	0.0092	0.0000	0.4500	0.0177
killer	PREFLOP	LOW	LOW	0.1379	0.4483	0.2414	0.0000	0.0208	0.0197	0.0000	0.4828	0.0305
ahyde	PREFLOP	LOW	LOW	0.0833	0.5000	0.6667	0.0000	0.0219	0.0344	0.0000	0.3333	0.0533
erb	PREFLOP	LOW	LOW	0.0833	0.2917	0.1250	0.1667	0.0156	0.0175	0.0000	0.6250	0.0096
erb	PREFLOP	LOW	MEDIUM	0.2000	0.4000	0.0000	0.3000	0.0746	0.1125	0.0000	0.3000	0.0434
jrx	PREFLOP	LOW	LOW	0.1765	0.2353	0.1176	0.0588	0.0286	0.0226	0.0000	0.4706	0.0323
brillo	PREFLOP	LOW	LOW	0.0870	0.2174	0.0435	0.0435	0.0169	0.0111	0.0000	0.7391	0.0143
murph	PREFLOP	LOW	LOW	0.1538	0.3846	0.0769	0.0000	0.0144	0.0140	0.0000	0.6154	0.0115
Buzman	PREFLOP	LOW	LOW	0.0909	0.3636	0.4545	0.1818	0.0083	0.0113	0.0000	0.1818	0.0231
achamber	PREFLOP	LOW	LOW	0.0769	0.6154	0.3077	0.0000	0.0317	0.0305	0.0000	0.5385	0.0066
jazbo	FLOP	HIGH	MEDIUM	0.6154	0.2308	0.0769	0.0000	0.0382	0.0253	0.0000	0.0769	0.0214
jazbo	PREFLOP	LOW	LOW	0.0789	0.3158	0.0921	0.1711	0.0269	0.0358	0.0000	0.5921	0.0299
jazbo	PREFLOP	LOW	HIGH	0.0000	0.8000	0.1000	0.9000	0.0158	0.0206	0.0000	0.1000	0.0069
jzk	PREFLOP	LOW	LOW	0.0714	0.5714	0.1429	0.1429	0.0172	0.0224	0.0000	0.6429	0.0179
jzk	PREFLOP	LOW	HIGH	0.4000	0.6000	0.0000	0.2000	0.0279	0.0342	0.0000	0.0000	0.0000
rockyiam	PREFLOP	LOW	LOW	0.0000	0.2000	0.2000	0.0667	0.0130	0.0096	0.0000	0.7333	0.0236
suckfish	PREFLOP	LOW	LOW	0.1081	0.4324	0.2162	0.0270	0.0252	0.0558	0.0000	0.5676	0.0187
suckfish	PREFLOP	LOW	MEDIUM	0.0476	0.6667	0.5238	0.0952	0.0289	0.0461	0.0000	0.2381	0.0166
jims	PREFLOP	LOW	LOW	0.0000	0.1538	0.0000	0.0000	0.0115	0.0090	0.0000	1.0000	0.0239
cardly	PREFLOP	LOW	LOW	0.1176	0.4118	0.1765	0.0000	0.0155	0.0134	0.0000	0.5882	0.0297
Burge	PREFLOP	LOW	LOW	0.1000	0.4000	0.1000	0.1000	0.0235	0.0353	0.0000	0.6000	0.0153
FogDucker	FLOP	HIGH	MEDIUM	0.5000	0.4000	0.0000	0.0000	0.0126	0.0070	0.0000	0.1000	0.0368
FogDucker	PREFLOP	LOW	LOW	0.0735	0.3235	0.2647	0.0294	0.0218	0.0256	0.0000	0.6176	0.0210
FogDucker	FLOP	HIGH	LOW	0.5455	0.0909	0.1818	0.0000	0.0407	0.0230	0.0000	0.1818	0.0202
bopo	PREFLOP	LOW	LOW	0.0000	0.2143	0.0000	0.0000	0.0037	0.0011	0.0000	1.0000	0.0146
pupu	PREFLOP	LOW	LOW	0.0714	0.3571	0.2143	0.0000	0.0190	0.0251	0.0000	0.6429	0.0088
EalingDR	FLOP	HIGH	MEDIUM	0.4000	0.3000	0.0000	0.1000	0.0501	0.0270	0.0000	0.2000	0.0325
EalingDR	PREFLOP	LOW	LOW	0.0877	0.4386	0.4035	0.0351	0.0162	0.0200	0.0000	0.3509	0.0245
fatal2	PREFLOP	LOW	LOW	0.0833	0.4167	0.4167	0.0000	0.0171	0.0226	0.0000	0.3333	0.0041
