Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5
												class
FLOP	LOW	LOW	0.233333334326744080	0.711111128330230710	0.055555559694766998	0.000000000000000000	0.00654147	0.000375043	0.0	0.000000000000000000	0	1
FLOP	LOW	LOW	0.919976353645324710	0.018287850543856621	0.031909260898828506	0.000269905547611415	0.00172863	0.000235864	0.0	0.029994606971740723	0.00171493	2
FLOP	LOW	LOW	0.536983013153076170	0.143858507275581360	0.275866657495498660	0.028260868042707443	0.010633	0.00892776	0.0	0.074451215565204620	0.00529676	3
FLOP	LOW	LOW	0.389455795288085940	0.014030612073838711	0.000000000000000000	0.000000000000000000	0.000515497	0	0.0	0.596513628959655760	0.00422508	4
FLOP	LOW	LOW	0.445547580718994140	0.036522913724184036	0.498647391796112060	0.000000000000000000	0.00545263	0.000535566	0.0	0.032110415399074554	0.000858349	5
